,T,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,beta_8,beta_9,beta_10,beta_11,beta_12,beta_13,beta_14,beta_15,beta_16,beta_17,beta_18,beta_19,beta_20,beta_21,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,theta_17,theta_18,theta_19,theta_20,theta_21,psi_0,psi_1,psi_2,psi_3,psi_4,psi_5,psi_6,psi_7,psi_8,psi_9,psi_10,psi_11,psi_12,psi_13,psi_14,psi_15,psi_16,psi_17,psi_18,psi_19,psi_20,psi_21
10,752.0534371661183,2413588478.3268394,1939488852.8541367,1121566279.1612678,1518629214.74765,1208309548.5035694,1782629203.6674628,1604255187.4914951,1649416186.6277761,1399539116.5243652,2170362869.636233,1382754542.245771,1988455464.9477155,1055823475.4369321,1282190075.1873443,1412514420.697087,1323711269.4236088,1661910071.9314015,2334922733.399515,1785256865.6512775,1059068593.4143642,1465215775.0961447,2243552699.612397,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,True,False,0.9947233765258987,0.7681607040804633,0.9547201011221425,0.791159945715648,0.98659605539647,0.787445422962811,0.7504045232220286,0.9895121393451959,0.8026477623086231,0.7861606154457562,0.9990658601014774,0.9850319553406384,0.9863769215532001,0.8261072780446225,0.7699830100109503,0.9956868109972214,0.9913726761409829,0.6790162061569749,0.8064156360056739,0.9578833591111602,0.9688270920027304,0.8627045168774212,935,945,384,405,7,730,836,560,547,624,350,534,8,139,282,40,110,563,643,361,407,189
11,1320.486555020096,1728100769.4150205,1776029809.940317,1633030659.5100312,1336191105.697479,2039753583.3731995,1330765671.9478352,1371380853.2114275,1354479888.4870694,1684373456.911886,1348347670.5742424,1477890083.0025554,1875308265.098904,1994444469.7620826,1418944980.265822,1167438129.196021,1321745171.1585722,2369705170.682838,2693014422.956806,1330975409.294415,1430538665.2456849,1117155253.015969,2238346819.7612147,False,False,True,False,True,False,True,True,False,True,True,True,False,False,True,False,True,True,False,False,True,False,0.7172742931442927,0.7696041472760704,0.9884396887887368,0.4886621252068699,0.9840378439337031,0.48022646032017596,0.9945554190613761,0.9803293170320835,0.7365443771204377,0.9968811935723081,0.9989610681296848,0.9516036684986819,0.1870670035171058,0.8805381695737966,0.9871392913046003,0.6249130858063092,0.9973743822104683,0.9861868829210926,0.8539811108232325,0.9206554678847244,0.9850634715439841,0.5909155112634894,334,737,313,307,337,182,967,626,17,12,205,158,802,942,223,601,224,313,193,206,750,474
12,919.2083971665866,2734221156.084362,1568686384.8949125,1016257515.3228935,1366354096.481904,1419156896.9580958,1499286035.9755483,2126322320.4993517,1750272309.696175,1417511441.8844168,1796493419.1864746,1256658543.2543771,1272115374.3418622,1460086508.8827462,1423411149.6519306,959431330.798419,2141054591.2351813,1644214230.6342738,1258400299.3262167,1175091495.6331296,1077797277.1483312,1423352902.0768123,1861336277.4116805,False,False,True,True,True,False,False,True,False,False,False,True,True,False,True,True,True,False,True,False,True,False,0.9271110469668147,0.7161051511020642,0.9884032772641996,0.9966236483893923,0.9929482792829484,0.639452899081497,0.7834476928246913,0.988705552176188,0.6873150638767279,0.8286365164419524,0.9926286589785324,0.9751109312288355,0.9948476006245839,0.6696782571073833,0.9936415329318221,0.9963597089021494,0.9951675949540832,0.7806440937330998,0.9860227416799744,0.9166504964710515,0.990010285423336,0.9079483420188923,440,507,348,155,583,117,827,34,328,165,33,461,45,650,37,771,21,642,509,81,440,54
13,1060.652788465822,2198031907.0440392,1469125830.9232392,2118593943.8053212,1609680939.2355185,1455871529.2058468,2363930352.44703,960020100.8779116,1350250061.5120673,1824766136.6435676,2126906349.1374812,1358518989.780849,1309672628.7742026,1175528653.2068944,1301901303.215358,2223729520.649144,2638709952.604288,1485426294.965685,1131656839.3862777,1087461636.8384259,1605682504.6133852,1258111625.400903,2111909495.113565,False,True,True,False,True,True,True,True,False,False,True,True,False,False,False,False,True,False,True,False,False,True,0.8242632544962778,0.991998956331158,0.9846216958868514,0.7557993993305254,0.9993729581033409,0.9940669775082608,0.9858050278175073,0.9832950390964236,0.84748164162296,0.9495682732577744,0.9959948963596115,0.9719650806002174,0.8287890826230798,0.9535494734739832,0.8508876814723193,0.9987318354953716,0.991765879056693,0.9471590846104085,0.9883675359963884,0.9965383387554682,0.7937923430504368,0.9994156644526886,1002,150,458,268,447,32,639,9,28,349,121,458,618,433,715,77,48,308,10,689,756,102
14,1311.4008342102309,2874117178.839646,1872663926.0736659,2004966146.7004325,1032091266.365951,1480877381.8825073,1387851022.392472,2070419723.6129794,2119561600.7250957,1385945456.6067834,1455538936.9115858,1314531007.9295204,2074920001.5943885,1423288302.7441766,1331099269.269803,1102502846.0817418,1997355440.2163806,1261301437.550621,1616733185.3726113,1333094272.828194,1100566220.6411479,1058866585.6857518,1631992512.0187964,True,True,False,False,False,False,True,True,False,False,False,False,False,False,True,True,True,False,True,True,True,False,0.9923552392838331,0.9937071650826341,0.9831985563403958,0.6101762693496737,0.9128460091227203,0.8310924324151081,0.9778685026144517,0.9906909281352718,0.7681789206008637,0.9942572417384988,0.59657411198666,0.5735221489517371,0.6208341666846753,0.9336003987696834,0.9992619224372353,0.9990228371459247,0.9885590820503812,0.5754152144908352,0.9880438740285852,0.9951685246533835,0.9991469574015948,0.7805511761293935,162,407,408,748,774,276,662,325,321,522,118,425,781,182,75,823,74,632,10,38,395,618
15,847.9856606439987,1644358824.5754247,1851960358.2635813,2010386413.4356174,1091936015.328061,1185291130.3739042,1262637796.4696455,1292615576.7081041,2833585671.2220974,1422323497.2722876,1393957825.4098783,1429474304.8331387,2152265003.1422133,1784515322.725972,1295582730.8782122,1096914598.1118596,1326000843.4366598,1233653485.5447462,2501465719.183728,1289878332.5134008,1221596857.733722,1080075034.8482623,2522413469.4208055,True,False,True,False,False,False,False,False,False,True,False,False,False,True,True,True,True,True,True,False,False,False,0.9893149220589054,0.6901262295644219,0.9950661791831067,0.9483510274463951,0.8778483314772068,0.6364291780206213,0.8076111365363943,0.9511973061734516,0.6969697797862764,0.9975741172663685,0.7160265863109796,0.8537749312057499,0.6545705115914557,0.97609300404643,0.9984032690867685,0.9903608391909333,0.9950035303097492,0.9949942195591123,0.9953600878584368,0.9096414597054314,0.9633970420864078,0.9253528444965997,277,569,376,167,108,416,55,30,262,57,816,307,1013,18,329,60,16,9,152,98,435,426
16,653.9434646772313,1830288073.8919377,1666713578.4546502,2046731701.625228,1493872748.1851056,1242069633.2882767,1839238691.084361,1344894705.3656611,1247684578.617157,1431616006.3217885,1569727209.9336894,1389929046.2034094,1277773505.538863,2151731375.0323377,1481002879.4512162,1943629841.2583876,2081294833.1778998,1975222914.4654424,2824614209.7438507,1939366183.675647,1690225920.4242074,1518851122.5625942,2488646515.458616,True,False,False,False,True,True,False,True,False,True,False,True,True,True,False,False,True,False,False,False,False,False,0.9864711323459103,0.9022330421867044,0.9421284047525721,0.9217357486782498,0.9894897675459634,0.9855775154146601,0.6453068559809367,0.987041493525173,0.6476857963035345,0.994277282168652,0.9967734590981306,0.9852646258016892,0.985141897006134,0.9786128904726379,0.8870777502576267,0.9734454502623076,0.9856264000313564,0.8151517075004729,0.9959075099383887,0.6429212058237582,0.963912968662162,0.8324286832515011,526,640,390,428,241,709,449,27,222,33,790,7,311,964,588,196,120,195,494,670,127,967
17,574.6873780843541,2626225857.790433,1291759211.3565435,1791502766.4088743,933294634.80076,1193647918.7230372,2153390823.037499,1269862729.70119,2877057980.5674477,1765496958.0951498,2127580626.0855052,1674335156.1874714,2202711741.918195,1003125885.4378275,1368243383.7983084,1186904437.0870738,2109411965.0584733,1673325124.2206182,2118295115.217338,2161865793.1412625,1187895644.4338353,1347837872.2535405,2594051396.8001776,True,False,False,True,True,False,True,False,False,False,False,False,True,True,True,False,True,False,False,True,False,False,0.9993328938204683,0.724368587609936,0.9785589383337668,0.9943573526699601,0.988669069021833,0.9768022194484016,0.9919862242964292,0.7771317191919449,0.6614301889745989,0.7782314447468847,0.8766350884245419,0.8214644226270623,0.9949256308168236,0.9794016649563078,0.9964371496050037,0.9368740759368542,0.9880831480487098,0.988408184522441,0.927337143573865,0.9935950559823706,0.7263865021021549,0.9286793074616153,793,124,527,207,21,163,19,136,308,349,339,324,222,53,36,143,95,42,650,23,789,599
18,1149.3616731012344,1706181692.294018,1984813311.2148633,1422827700.0990226,1047992704.6676017,1882138003.6377213,2053940106.4246278,1143430930.88971,2916457288.9909406,1736868678.789448,1544659950.8972487,1458117746.7641473,1757142098.3944445,1243494629.8312173,1370183045.0107856,1203556510.651071,1171227373.3347359,1872300999.925862,1181319990.8965147,1318865556.5229876,991200952.2875837,1441727015.5947094,2468961951.5391226,True,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,0.9942611390207914,0.9842231985887747,0.6829790106765263,0.9953081349763798,0.6537999714169727,0.538421177716385,0.9909746350100149,0.4790462840210719,0.686063686039507,0.9855884894895982,0.621894702755865,0.6588857764306295,0.7190084883836328,0.5605968173385518,0.9931002419692413,0.8274986649626156,0.998059092309416,0.5747448288727156,0.8404168511647071,0.9938523135480231,0.5572808040861765,0.7911053008122888,417,78,714,10,202,501,591,797,409,19,51,629,978,771,995,996,250,21,531,32,412,390
19,578.6672124805814,2350540684.432652,1253711289.6097705,1304332932.772272,1460514703.0079043,1348313679.8455915,1222723450.6330397,2175085739.077074,1524309883.313462,1721757712.3580043,2079780417.311782,1411695598.9215975,2002359217.2684934,1669620771.1878235,1390713653.7654784,950246027.0372361,2121689322.4725902,1209499207.695064,2463867191.3549953,1696701812.0619037,1016712410.5145885,1154377691.8688521,1957550353.1426961,False,False,False,False,True,True,False,True,True,True,False,True,False,True,True,True,False,False,True,False,False,False,0.9610547305929095,0.769321222451966,0.9890907992691763,0.9843322416441772,0.9946235462964125,0.9992258132537161,0.8242153656869591,0.9874088854943335,0.9662748171547091,0.9991359697979675,0.6533674818217651,0.9945503850145345,0.6116050147617549,0.9835811563626535,0.9993898759976422,0.9893262927225316,0.9617154401457942,0.7406750615602988,0.9903794581128555,0.7271548794987636,0.601730063229675,0.706787091079934,708,906,44,310,21,25,412,67,413,27,841,543,300,91,60,519,356,960,138,382,232,376
